station_id,year,month,obs_mm_day
WA001,2017,3,0.0
WA001,2017,4,0.0
WA001,2017,5,0.0
WA001,2017,6,0.581
WA001,2017,7,3.8503
WA001,2017,8,5.6697
WA001,2017,9,3.5807
WA001,2017,10,0.239
WA001,2017,11,0.0
WA001,2017,12,0.0
WA001,2018,1,0.0
WA001,2018,2,0.0021
WA001,2018,3,0.0003
WA001,2018,4,0.0
WA001,2018,5,0.0
WA001,2018,6,0.674
WA001,2018,7,0.4235
WA001,2018,8,3.6552
WA001,2018,9,6.2783
WA001,2018,10,0.5632
WA001,2018,11,0.002
WA001,2018,12,0.0
WA001,2019,1,0.0
WA001,2019,2,0.0
WA001,2019,3,0.0
WA001,2019,4,0.0
WA001,2019,5,0.0
WA001,2019,6,0.0033
WA001,2019,7,1.0984
WA001,2019,8,6.1194
WA001,2019,9,6.53
WA001,2019,10,1.8103
WA001,2019,11,0.0
WA001,2019,12,0.0
WA001,2020,1,0.0
WA001,2020,2,0.0
WA001,2020,3,0.0
WA001,2020,4,0.0
WA001,2020,5,0.0
WA001,2020,6,0.1447
WA001,2020,7,4.32
WA001,2020,8,4.0339
WA001,2020,9,9.58
WA001,2020,10,0.9581
WA001,2020,11,0.0
WA001,2020,12,0.0
WA002,2001,1,0.0
WA002,2001,2,0.0
WA002,2001,3,0.0
WA002,2001,4,1.056
WA002,2001,5,0.2545
WA002,2001,6,4.885
WA002,2001,7,6.3152
WA002,2001,8,8.3526
WA002,2001,9,2.9253
WA002,2001,10,1.4465
WA002,2001,11,0.0203
WA002,2001,12,0.0
WA002,2002,1,0.0374
WA002,2002,2,0.0036
WA002,2002,3,0.0397
WA002,2002,4,0.406
WA002,2002,5,0.8984
WA002,2002,6,2.7723
WA002,2002,7,6.7955
WA002,2002,8,10.9829
WA002,2002,9,2.734
WA002,2002,10,1.7329
WA002,2002,11,0.0
WA002,2002,12,0.0
WA002,2003,1,0.0006
WA002,2003,2,0.0004
WA002,2003,3,0.0
WA002,2003,4,0.6573
WA002,2003,5,1.7713
WA002,2003,6,5.586
WA002,2003,7,9.2674
WA002,2003,8,7.0729
WA002,2003,9,11.194
WA002,2003,10,1.681
WA002,2003,11,0.1823
WA002,2003,12,0.0
WA002,2004,1,0.0084
WA002,2004,2,0.011
WA002,2004,3,0.0016
WA002,2004,4,1.3817
WA002,2004,5,1.2658
WA002,2004,6,6.7683
WA002,2004,7,13.4274
WA002,2004,8,9.641
WA002,2004,9,2.6827
WA002,2004,10,0.4174
WA002,2004,11,0.0003
WA002,2004,12,0.0
WA002,2005,1,0.0068
WA002,2005,2,0.0
WA002,2005,3,0.1268
WA002,2005,4,0.5083
WA002,2005,5,0.9632
WA002,2005,6,4.9207
WA002,2005,7,8.2177
WA002,2005,8,10.7623
WA002,2005,9,4.6797
WA002,2005,10,1.261
WA002,2005,11,0.0027
WA002,2005,12,0.0
WA002,2006,1,0.0
WA002,2006,2,0.0
WA002,2006,3,0.0013
WA002,2006,4,5.068
WA002,2006,5,3.9013
WA002,2006,6,3.22
WA002,2006,7,3.4439
WA002,2006,8,8.2981
WA002,2006,9,10.619
WA002,2006,10,1.1471
WA002,2006,11,0.0
WA002,2006,12,0.0
WA002,2007,1,0.0
WA002,2007,2,0.0
WA002,2007,3,0.0006
WA002,2007,4,0.4377
WA002,2007,5,2.0952
WA002,2007,6,4.335
WA002,2007,7,6.6535
WA002,2007,8,8.3126
WA002,2007,9,5.0593
WA002,2007,10,1.1287
WA002,2007,11,0.0
WA002,2007,12,0.0
WA002,2008,1,0.0
WA002,2008,2,0.0
WA002,2008,3,0.1745
WA002,2008,4,1.7043
WA002,2008,5,0.75
WA002,2008,6,4.6867
WA002,2008,7,10.1597
WA002,2008,8,15.0129
WA002,2008,9,6.017
WA002,2008,10,5.5484
WA002,2008,11,0.0
WA002,2008,12,0.0
WA002,2009,1,0.0
WA002,2009,2,0.0
WA002,2009,3,0.0865
WA002,2009,4,0.002
WA002,2009,5,1.3281
WA002,2009,6,3.616
WA002,2009,7,7.4874
WA002,2009,8,8.1171
WA002,2009,9,10.1737
WA002,2009,10,1.2465
WA002,2009,11,0.091
WA002,2009,12,0.0
WA002,2010,1,0.0
WA002,2010,2,0.0
WA002,2010,3,0.0223
WA002,2010,4,0.5963
WA002,2010,5,3.2584
WA002,2010,6,5.1197
WA002,2010,7,6.9006
WA002,2010,8,10.7581
WA002,2010,9,10.812
WA002,2010,10,2.281
WA002,2010,11,0.0063
WA002,2010,12,0.0
WA002,2011,1,0.0
WA002,2011,2,0.0
WA002,2011,3,0.001
WA002,2011,4,0.703
WA002,2011,5,2.6855
WA002,2011,6,4.6523
WA002,2011,7,8.7587
WA002,2011,8,10.3842
WA002,2011,9,2.603
WA002,2011,10,1.3735
WA002,2011,11,0.0
WA002,2011,12,0.0
WA002,2012,1,0.0
WA002,2012,2,0.0
WA002,2012,3,0.0161
WA002,2012,4,1.6173
WA002,2012,5,1.7187
WA002,2012,6,8.5507
WA002,2012,7,10.1774
WA002,2012,8,12.3484
WA002,2012,9,7.2133
WA002,2012,10,0.2377
WA002,2012,11,0.1217
WA002,2012,12,0.0
WA002,2013,1,0.0
WA002,2013,2,0.0079
WA002,2013,3,0.0958
WA002,2013,4,0.7457
WA002,2013,5,2.729
WA002,2013,6,5.5407
WA002,2013,7,6.5035
WA002,2013,8,8.5958
WA002,2013,9,5.209
WA002,2013,10,2.6323
WA002,2013,11,0.0007
WA002,2013,12,0.0
WA002,2014,1,0.0
WA002,2014,2,0.0
WA002,2014,3,0.0
WA002,2014,4,0.608
WA002,2014,5,7.2452
WA002,2014,6,7.5637
WA002,2014,7,4.0152
WA002,2014,8,5.6542
WA002,2014,9,4.796
WA002,2014,10,0.2713
WA002,2014,11,0.067
WA002,2014,12,0.0
WA002,2015,1,0.0
WA002,2015,2,0.0
WA002,2015,3,0.0
WA002,2015,4,0.3027
WA002,2015,5,1.1123
WA002,2015,6,5.7963
WA002,2015,7,8.9948
WA002,2015,8,11.1542
WA002,2015,9,8.069
WA002,2015,10,3.3468
WA002,2015,11,0.0007
WA002,2015,12,0.0
WA002,2016,1,0.2997
WA002,2016,2,0.0
WA002,2016,3,0.0
WA002,2016,4,0.302
WA002,2016,5,2.4058
WA002,2016,6,5.7597
WA002,2016,7,8.9284
WA002,2016,8,12.55
WA002,2016,9,4.2213
WA002,2016,10,0.449
WA002,2016,11,0.0023
WA002,2016,12,0.0
WA002,2017,1,0.0
WA002,2017,2,0.0
WA002,2017,3,1.0277
WA002,2017,4,0.161
WA002,2017,5,0.9532
WA002,2017,6,2.3127
WA002,2017,7,10.0319
WA002,2017,8,6.9761
WA002,2017,9,2.8503
WA002,2017,10,0.1465
WA002,2017,11,0.0
WA002,2017,12,0.0
WA002,2018,1,0.0
WA002,2018,2,0.0043
WA002,2018,3,0.0277
WA002,2018,4,0.0427
WA002,2018,5,2.019
WA002,2018,6,5.081
WA002,2018,7,8.9084
WA002,2018,8,9.1948
WA002,2018,9,5.174
WA002,2018,10,2.2274
WA002,2018,11,0.0
WA002,2018,12,0.0
WA002,2019,1,0.0
WA002,2019,2,0.0
WA002,2019,3,0.029
WA002,2019,4,0.766
WA002,2019,5,2.1319
WA002,2019,6,3.7337
WA002,2019,7,5.5752
WA002,2019,8,10.1365
WA002,2019,9,4.574
WA002,2019,10,2.5484
WA002,2019,11,0.0013
WA002,2019,12,0.0
WA002,2020,1,0.0
WA002,2020,2,0.0
WA002,2020,3,0.0055
WA002,2020,4,1.0263
WA002,2020,5,5.131
WA002,2020,6,3.1977
WA002,2020,7,10.6419
WA002,2020,8,8.1058
WA002,2020,9,5.7967
WA002,2020,10,1.5345
WA002,2020,11,0.0
WA002,2020,12,0.0
WA003,2001,1,0.0
WA003,2001,2,0.0
WA003,2001,3,0.0
WA003,2001,4,0.0
WA003,2001,5,1.2916
WA003,2001,6,1.6117
WA003,2001,7,6.4642
WA003,2001,8,7.0252
WA003,2001,9,3.1027
WA003,2001,10,0.4335
WA003,2001,11,0.0
WA003,2001,12,0.0
WA003,2002,1,0.0
WA003,2002,2,0.0
WA003,2002,3,0.0
WA003,2002,4,0.0793
WA003,2002,5,0.4761
WA003,2002,6,1.3363
WA003,2002,7,6.8481
WA003,2002,8,5.7735
WA003,2002,9,6.3753
WA003,2002,10,1.2584
WA003,2002,11,0.0
WA003,2002,12,0.0
WA003,2003,1,0.0
WA003,2003,2,0.065
WA003,2003,3,0.1797
WA003,2003,4,0.7353
WA003,2003,5,1.6613
WA003,2003,6,9.6417
WA003,2003,7,9.6197
WA003,2003,8,5.7306
WA003,2003,9,5.5847
WA003,2003,10,1.6297
WA003,2003,11,0.0
WA003,2003,12,0.0
WA003,2004,1,0.0
WA003,2004,2,0.0
WA003,2004,3,0.0003
WA003,2004,4,1.7377
WA003,2004,5,1.3239
WA003,2004,6,1.462
WA003,2004,7,9.2752
WA003,2004,8,6.1774
WA003,2004,9,6.0547
WA003,2004,10,0.3974
WA003,2004,11,0.267
WA003,2004,12,0.0
WA003,2005,1,0.0
WA003,2005,2,0.0
WA003,2005,3,0.0152
WA003,2005,4,0.8687
WA003,2005,5,1.0639
WA003,2005,6,3.1067
WA003,2005,7,8.0842
WA003,2005,8,8.0839
WA003,2005,9,4.1997
WA003,2005,10,0.5887
WA003,2005,11,0.0
WA003,2005,12,0.0
WA003,2006,1,0.0
WA003,2006,2,0.0
WA003,2006,3,0.0
WA003,2006,4,0.2273
WA003,2006,5,0.0726
WA003,2006,6,2.4403
WA003,2006,7,5.2955
WA003,2006,8,6.6119
WA003,2006,9,3.896
WA003,2006,10,1.1213
WA003,2006,11,0.0
WA003,2006,12,0.0
WA003,2007,1,0.0
WA003,2007,2,0.0
WA003,2007,3,0.0
WA003,2007,4,2.6293
WA003,2007,5,0.8268
WA003,2007,6,1.4017
WA003,2007,7,4.2087
WA003,2007,8,10.1406
WA003,2007,9,4.7047
WA003,2007,10,0.0139
WA003,2007,11,0.0
WA003,2007,12,0.0
WA003,2008,1,0.0
WA003,2008,2,0.0
WA003,2008,3,0.0
WA003,2008,4,0.002
WA003,2008,5,1.1506
WA003,2008,6,3.082
WA003,2008,7,7.79
WA003,2008,8,6.8258
WA003,2008,9,4.0077
WA003,2008,10,0.9
WA003,2008,11,0.0
WA003,2008,12,0.0
WA003,2009,1,0.0
WA003,2009,2,0.0011
WA003,2009,3,0.0003
WA003,2009,4,0.3973
WA003,2009,5,0.4213
WA003,2009,6,2.4543
WA003,2009,7,5.4394
WA003,2009,8,7.6171
WA003,2009,9,9.1693
WA003,2009,10,1.159
WA003,2009,11,0.0
WA003,2009,12,0.0
WA003,2010,1,0.0
WA003,2010,2,0.0
WA003,2010,3,0.0
WA003,2010,4,1.2823
WA003,2010,5,1.971
WA003,2010,6,3.403
WA003,2010,7,7.8161
WA003,2010,8,8.0077
WA003,2010,9,3.7677
WA003,2010,10,1.5832
WA003,2010,11,0.0
WA003,2010,12,0.0
WA003,2011,1,0.0
WA003,2011,2,0.0036
WA003,2011,3,0.0106
WA003,2011,4,0.5647
WA003,2011,5,0.4648
WA003,2011,6,3.6327
WA003,2011,7,7.4903
WA003,2011,8,6.0023
WA003,2011,9,2.6817
WA003,2011,10,0.5184
WA003,2011,11,0.0
WA003,2011,12,0.0
WA003,2012,1,0.0
WA003,2012,2,0.0
WA003,2012,3,0.0
WA003,2012,4,0.48
WA003,2012,5,1.7487
WA003,2012,6,2.5233
WA003,2012,7,11.0932
WA003,2012,8,7.491
WA003,2012,9,6.9247
WA003,2012,10,0.1319
WA003,2012,11,0.0
WA003,2012,12,0.0061
WA003,2013,1,0.0
WA003,2013,2,0.0
WA003,2013,3,0.2687
WA003,2013,4,1.1977
WA003,2013,5,1.6358
WA003,2013,6,1.5583
WA003,2013,7,5.9829
WA003,2013,8,8.3074
WA003,2013,9,6.373
WA003,2013,10,0.6771
WA003,2013,11,0.0
WA003,2013,12,0.0
WA003,2014,1,0.1242
WA003,2014,2,0.0
WA003,2014,3,0.0
WA003,2014,4,2.4807
WA003,2014,5,3.5871
WA003,2014,6,3.2077
WA003,2014,7,4.3819
WA003,2014,8,6.8932
WA003,2014,9,6.6187
WA003,2014,10,1.0906
WA003,2014,11,0.0
WA003,2014,12,0.0
WA003,2015,1,0.0
WA003,2015,2,0.005
WA003,2015,3,0.1994
WA003,2015,4,0.0
WA003,2015,5,0.3461
WA003,2015,6,3.6263
WA003,2015,7,7.7584
WA003,2015,8,10.7642
WA003,2015,9,7.6527
WA003,2015,10,1.5532
WA003,2015,11,0.0
WA003,2015,12,0.0
WA003,2016,1,0.0
WA003,2016,2,0.0031
WA003,2016,3,0.2771
WA003,2016,4,1.035
WA003,2016,5,1.2268
WA003,2016,6,3.6587
WA003,2016,7,9.7035
WA003,2016,8,11.3087
WA003,2016,9,5.162
WA003,2016,10,0.06
WA003,2016,11,0.0
WA003,2016,12,0.0
WA003,2017,1,0.0
WA003,2017,2,0.0
WA003,2017,3,0.0
WA003,2017,4,0.12
WA003,2017,5,5.14
WA003,2017,6,3.8783
WA003,2017,7,4.04
WA003,2017,8,10.2942
WA003,2017,9,3.2327
WA003,2017,10,0.0981
WA003,2017,11,0.0
WA003,2017,12,0.0
WA003,2018,1,0.0
WA003,2018,2,0.3046
WA003,2018,3,0.0339
WA003,2018,4,0.0057
WA003,2018,5,1.8987
WA003,2018,6,2.8033
WA003,2018,7,9.0752
WA003,2018,8,8.2326
WA003,2018,9,6.877
WA003,2018,10,0.9732
WA003,2018,11,0.0
WA003,2018,12,0.0
WA003,2019,1,0.0
WA003,2019,2,0.0
WA003,2019,3,0.1677
WA003,2019,4,2.3173
WA003,2019,5,3.0468
WA003,2019,6,3.1857
WA003,2019,7,9.0413
WA003,2019,8,6.9323
WA003,2019,9,2.4947
WA003,2019,10,3.0797
WA003,2019,11,0.0
WA003,2019,12,0.0
WA003,2020,1,0.0
WA003,2020,2,0.0
WA003,2020,3,0.0
WA003,2020,4,0.1723
WA003,2020,5,0.1477
WA003,2020,6,3.0333
WA003,2020,7,7.4739
WA003,2020,8,9.7413
WA003,2020,9,7.684
WA003,2020,10,2.0119
WA003,2020,11,0.0
WA003,2020,12,0.0
WA004,2001,1,0.0
WA004,2001,2,0.0
WA004,2001,3,0.0
WA004,2001,4,0.0
WA004,2001,5,0.1719
WA004,2001,6,4.4283
WA004,2001,7,7.6042
WA004,2001,8,3.1523
WA004,2001,9,3.8467
WA004,2001,10,0.0052
WA004,2001,11,0.0
WA004,2001,12,0.0
WA004,2002,1,0.0
WA004,2002,2,0.0
WA004,2002,3,0.0
WA004,2002,4,0.0
WA004,2002,5,0.2558
WA004,2002,6,3.525
WA004,2002,7,3.1984
WA004,2002,8,3.1313
WA004,2002,9,2.079
WA004,2002,10,1.3965
WA004,2002,11,0.0
WA004,2002,12,0.0
WA004,2003,1,0.0
WA004,2003,2,0.0
WA004,2003,3,0.0545
WA004,2003,4,0.001
WA004,2003,5,0.7623
WA004,2003,6,3.208
WA004,2003,7,3.7013
WA004,2003,8,5.4952
WA004,2003,9,2.6537
WA004,2003,10,0.0639
WA004,2003,11,0.0
WA004,2003,12,0.0
WA004,2004,1,0.0
WA004,2004,2,0.0
WA004,2004,3,0.0
WA004,2004,4,0.6933
WA004,2004,5,0.1223
WA004,2004,6,1.039
WA004,2004,7,4.1752
WA004,2004,8,4.9403
WA004,2004,9,2.6237
WA004,2004,10,0.0
WA004,2004,11,0.0
WA004,2004,12,0.0
WA004,2005,1,0.0
WA004,2005,2,0.0
WA004,2005,3,0.0
WA004,2005,4,0.0
WA004,2005,5,1.2755
WA004,2005,6,3.2253
WA004,2005,7,5.5045
WA004,2005,8,4.2568
WA004,2005,9,2.0467
WA004,2005,10,1.3
WA004,2005,11,0.0
WA004,2005,12,0.0
WA004,2006,1,0.0
WA004,2006,2,0.0
WA004,2006,3,0.0
WA004,2006,4,0.0
WA004,2006,5,0.0174
WA004,2006,6,1.8933
WA004,2006,7,4.3068
WA004,2006,8,4.7916
WA004,2006,9,1.8153
WA004,2006,10,0.1506
WA004,2006,11,0.0
WA004,2006,12,0.0
WA004,2007,1,0.0
WA004,2007,2,0.0
WA004,2007,3,0.0
WA004,2007,4,0.0
WA004,2007,5,0.7465
WA004,2007,6,1.4107
WA004,2007,7,5.2484
WA004,2007,8,8.5906
WA004,2007,9,3.5647
WA004,2007,10,0.0
WA004,2007,11,0.0
WA004,2007,12,0.0135
WA004,2008,1,0.0
WA004,2008,2,0.0
WA004,2008,3,0.0
WA004,2008,4,0.0
WA004,2008,5,0.401
WA004,2008,6,2.479
WA004,2008,7,5.6558
WA004,2008,8,4.3077
WA004,2008,9,2.3087
WA004,2008,10,0.0016
WA004,2008,11,0.0
WA004,2008,12,0.0
WA004,2009,1,0.0
WA004,2009,2,0.0
WA004,2009,3,0.0
WA004,2009,4,0.3647
WA004,2009,5,0.6377
WA004,2009,6,0.7427
WA004,2009,7,5.6626
WA004,2009,8,5.9526
WA004,2009,9,1.373
WA004,2009,10,0.9458
WA004,2009,11,0.0
WA004,2009,12,0.0
WA004,2010,1,0.0
WA004,2010,2,0.0
WA004,2010,3,0.0
WA004,2010,4,0.0043
WA004,2010,5,0.6561
WA004,2010,6,2.2973
WA004,2010,7,3.8955
WA004,2010,8,4.9587
WA004,2010,9,1.1697
WA004,2010,10,1.8968
WA004,2010,11,0.0
WA004,2010,12,0.0
WA004,2011,1,0.0
WA004,2011,2,0.015
WA004,2011,3,0.0
WA004,2011,4,0.0117
WA004,2011,5,0.3039
WA004,2011,6,1.1997
WA004,2011,7,1.8016
WA004,2011,8,3.9561
WA004,2011,9,0.903
WA004,2011,10,0.9613
WA004,2011,11,0.0
WA004,2011,12,0.0
WA004,2012,1,0.0029
WA004,2012,2,0.0403
WA004,2012,3,0.0
WA004,2012,4,0.021
WA004,2012,5,0.4768
WA004,2012,6,1.317
WA004,2012,7,3.4645
WA004,2012,8,9.3945
WA004,2012,9,2.7733
WA004,2012,10,0.2561
WA004,2012,11,0.0
WA004,2012,12,0.0
WA004,2013,1,0.0
WA004,2013,2,0.0
WA004,2013,3,0.0
WA004,2013,4,1.6043
WA004,2013,5,0.0613
WA004,2013,6,2.1937
WA004,2013,7,2.3119
WA004,2013,8,8.6361
WA004,2013,9,0.5167
WA004,2013,10,0.1029
WA004,2013,11,0.0
WA004,2013,12,0.0
WA004,2014,1,0.0
WA004,2014,2,0.0132
WA004,2014,3,0.0
WA004,2014,4,0.0013
WA004,2014,5,1.4377
WA004,2014,6,1.5693
WA004,2014,7,3.9426
WA004,2014,8,6.2206
WA004,2014,9,2.5957
WA004,2014,10,0.0035
WA004,2014,11,0.0003
WA004,2014,12,0.0
WA004,2015,1,0.0
WA004,2015,2,0.2264
WA004,2015,3,0.0
WA004,2015,4,0.0
WA004,2015,5,0.0016
WA004,2015,6,1.43
WA004,2015,7,5.3684
WA004,2015,8,4.1471
WA004,2015,9,3.0753
WA004,2015,10,1.9316
WA004,2015,11,0.0
WA004,2015,12,0.0
WA004,2016,1,0.0
WA004,2016,2,0.0
WA004,2016,3,0.0003
WA004,2016,4,0.907
WA004,2016,5,2.0052
WA004,2016,6,2.954
WA004,2016,7,2.1432
WA004,2016,8,4.9706
WA004,2016,9,3.6483
WA004,2016,10,0.0023
WA004,2016,11,0.0
WA004,2016,12,0.0
WA004,2017,1,0.0
WA004,2017,2,0.0
WA004,2017,3,0.0
WA004,2017,4,0.0407
WA004,2017,5,2.9671
WA004,2017,6,6.346
WA004,2017,7,4.0974
WA004,2017,8,7.2271
WA004,2017,9,0.5897
WA004,2017,10,0.2706
WA004,2017,11,0.0
WA004,2017,12,0.0
WA004,2018,1,0.0
WA004,2018,2,0.0043
WA004,2018,3,0.0297
WA004,2018,4,0.0
WA004,2018,5,1.0081
WA004,2018,6,1.5317
WA004,2018,7,5.1368
WA004,2018,8,6.129
WA004,2018,9,3.092
WA004,2018,10,0.3587
WA004,2018,11,0.0
WA004,2018,12,0.0
WA004,2019,1,0.0
WA004,2019,2,0.0
WA004,2019,3,0.0
WA004,2019,4,0.0383
WA004,2019,5,0.4648
WA004,2019,6,1.6953
WA004,2019,7,4.479
WA004,2019,8,3.7255
WA004,2019,9,2.8063
WA004,2019,10,0.3281
WA004,2019,11,0.0
WA004,2019,12,0.0
WA004,2020,1,0.0
WA004,2020,2,0.0
WA004,2020,3,0.0
WA004,2020,4,0.068
WA004,2020,5,0.5435
WA004,2020,6,2.4737
WA004,2020,7,5.3223
WA004,2020,8,8.2184
WA004,2020,9,3.6027
WA004,2020,10,0.6997
WA004,2020,11,0.0
WA004,2020,12,0.0
WA005,2001,1,0.0
WA005,2001,2,0.0
WA005,2001,3,0.0119
WA005,2001,4,3.1043
WA005,2001,5,3.3487
WA005,2001,6,6.0027
WA005,2001,7,10.4968
WA005,2001,8,9.4932
WA005,2001,9,8.939
WA005,2001,10,2.2829
WA005,2001,11,0.0
WA005,2001,12,0.0
WA005,2002,1,0.0
WA005,2002,2,0.0121
WA005,2002,3,1.8832
WA005,2002,4,3.0107
WA005,2002,5,3.1768
WA005,2002,6,8.332
WA005,2002,7,11.9523
WA005,2002,8,12.9742
WA005,2002,9,10.0393
WA005,2002,10,5.6681
WA005,2002,11,0.1183
WA005,2002,12,0.0
WA005,2003,1,0.0
WA005,2003,2,0.5254
WA005,2003,3,0.3394
WA005,2003,4,2.7003
WA005,2003,5,4.9961
WA005,2003,6,6.1793
WA005,2003,7,13.1603
WA005,2003,8,9.0032
WA005,2003,9,8.7667
WA005,2003,10,2.849
WA005,2003,11,1.2447
WA005,2003,12,0.0
WA005,2004,1,0.0
WA005,2004,2,0.2138
WA005,2004,3,0.0
WA005,2004,4,2.0087
WA005,2004,5,6.2861
WA005,2004,6,8.9093
WA005,2004,7,8.6842
WA005,2004,8,9.3981
WA005,2004,9,6.8433
WA005,2004,10,4.6426
WA005,2004,11,0.0977
WA005,2004,12,0.0
WA005,2005,1,0.0
WA005,2005,2,0.0
WA005,2005,3,0.0
WA005,2005,4,2.0373
WA005,2005,5,3.0029
WA005,2005,6,8.8563
WA005,2005,7,8.4177
WA005,2005,8,6.6281
WA005,2005,9,5.401
WA005,2005,10,4.9768
WA005,2005,11,0.0
WA005,2005,12,0.0
WA005,2006,1,0.2868
WA005,2006,2,0.4721
WA005,2006,3,0.7984
WA005,2006,4,0.9583
WA005,2006,5,4.5648
WA005,2006,6,3.53
WA005,2006,7,6.1306
WA005,2006,8,11.0781
WA005,2006,9,7.0217
WA005,2006,10,5.4903
WA005,2006,11,0.0
WA005,2006,12,0.0
WA005,2007,1,0.0
